success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,plugin_version,time_elapsed,rt,stimulus,response,phase,valence,prime_image,past_response_label,past_session_id
TRUE,FALSE,[],[],[],preload,0,2.1.0,39,,,,,,,,
,,,,,html-keyboard-response,1,2.1.0,127885,127845,"<h1>Welcome to the experiment!</h1><br><br>
      <h2>Consent to Participate</h2>
      <p>You are being asked to participate in a psychology experiment.</p>
      <p>Risks: The main risk is that you might get bored while completing the task.</p>
      <p>Benefits: There are no direct benefits, but your participation will help us learn about how people judge visual images.</p>
      <p>By pressing any key, you agree to participate in this study voluntarily.</p>
      <p>If you do not wish to participate, you may close this browser window now.</p>
      Press any key to begin.",n,,,,,
,,,,,html-keyboard-response,2,2.1.0,128753,867,"This study examines how people make simple judgments.<br><br>
      During the first task, you will see pairs of pictures appear one after the other.<br><br>
      The first picture will be a real-life image and the second picture will be an abstract painting.<br><br>
      <b>The first image is simply a warning signal for the abstract painting and should be ignored.</b><br><br>
      Your task is to <b>judge how visually pleasant each abstract painting is.</b>",x,,,,,
,,,,,html-keyboard-response,3,2.1.0,129228,474,"
      Put your index fingers on the E and I keys of your keyboard.<br><br>
      If the abstract painting is <b>less visually pleasant than average</b>, please press the <b>E key on the left</b>.<br><br>
      If the abstract painting is <b>more visually pleasant than average</b>, please press the <b>I key on the right</b>.<br><br>
      Note that the first (real-life) image can sometimes bias judgments of the abstract paintings.<br><br>
      <b>Please try your absolute best not to let the real-life images bias your judgment of the abstract paintings.</b>", ,,,,,
,,,,,html-keyboard-response,4,2.1.0,131988,1757,"After each trial we will ask you whether your judgment of the abstract painting was influenced by the real-life image.<br><br>
        <b>If your judgment of the abstract painting was influenced by the image that came before it, then press the 1 key.<br><br>
        If your judgment of the abstract painting was <u>NOT</u> influenced by the image that came before it, then press the 0 key.<b>", ,,,,,
,,,,,html-keyboard-response,5,2.1.0,134927,1934," <div style=""max-width:1000px; margin: 0 auto; text-align:center;""> <p>Here are some examples of the types of pictures that you will see during the task:</p> <table style=""margin: 10px auto; border-collapse: collapse;""> <tr> <th colspan=""6"" style=""padding:8px; font-size:16px; text-align:center;""> Real-life images </th> </tr> <tr><td style=""padding:6px; text-align:center;""><img src=""Primes/pleasant2.jpg"" style=""width:140px; height:auto; display:block; margin:0 auto;""></td><td style=""padding:6px; text-align:center;""><img src=""Primes/pleasant4.jpg"" style=""width:140px; height:auto; display:block; margin:0 auto;""></td><td style=""padding:6px; text-align:center;""><img src=""Primes/unpleasant_1.jpg"" style=""width:140px; height:auto; display:block; margin:0 auto;""></td><td style=""padding:6px; text-align:center;""><img src=""Primes/unpleasant_6.jpg"" style=""width:140px; height:auto; display:block; margin:0 auto;""></td><td style=""padding:6px; text-align:center;""><img src=""Primes/pleasant7.jpg"" style=""width:140px; height:auto; display:block; margin:0 auto;""></td><td style=""padding:6px; text-align:center;""><img src=""Primes/unpleasant_8.jpg"" style=""width:140px; height:auto; display:block; margin:0 auto;""></td></tr> <tr> <th colspan=""6"" style=""padding:12px 8px 8px; font-size:16px; text-align:center;""> Abstract paintings </th> </tr> <tr><td style=""padding:6px; text-align:center;""><img src=""Targets/pic32.jpg"" style=""width:140px; height:auto; display:block; margin:0 auto;""></td><td style=""padding:6px; text-align:center;""><img src=""Targets/pic20.jpg"" style=""width:140px; height:auto; display:block; margin:0 auto;""></td><td style=""padding:6px; text-align:center;""><img src=""Targets/pic18.jpg"" style=""width:140px; height:auto; display:block; margin:0 auto;""></td><td style=""padding:6px; text-align:center;""><img src=""Targets/pic77.jpg"" style=""width:140px; height:auto; display:block; margin:0 auto;""></td><td style=""padding:6px; text-align:center;""><img src=""Targets/pic6.jpg"" style=""width:140px; height:auto; display:block; margin:0 auto;""></td><td style=""padding:6px; text-align:center;""><img src=""Targets/pic5.jpg"" style=""width:140px; height:auto; display:block; margin:0 auto;""></td></tr> </table> <p>Press the<b>space bar</b> to continue.</p> </div> ", ,,,,,
,,,,,html-keyboard-response,6,2.1.0,136498,568,"We will now provide you with an opportunity to practice the task. Remember: You should judge whether each abstract <br><br>
      painting is more or less visually pleasant than average by pressing the E or the I key. And if you think your <br><br>
      rating of the abstract paintingwas influenced by the real-life image that appeared just before it, press the 1 key.<br><br>
      And if it was not influenced by the real-life image, press the 0 key. When you are ready to try a few practice <br><br>
      responses, hit the <b>space bar</b>.<br><br>
      Ready? Press the <b>space bar</b> to begin.", ,,,,,
,,,,,html-keyboard-response,7,2.1.0,138401,900,"Good! The test phase will now begin. Keep going as before.<br><br>
      As a reminder: If the abstract painting is less visually pleasant than average, press the E key. And if it is more visually pleasant than average, press the I key.<br><br>
      Ready? Press the <b>space bar</b> to begin.", ,,,,,
,,,,,html-keyboard-response,8,2.1.0,139905,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,,,,,image-keyboard-response,9,2.1.0,140010,null,Primes/pleasant1.jpg,null,prime,pleasant,Primes/pleasant1.jpg,,
,,,,,html-keyboard-response,10,2.1.0,140112,null,,null,blank,,,,
,,,,,image-keyboard-response,11,2.1.0,140315,null,Targets/pic79.jpg,null,target,,,,
,,,,,html-keyboard-response,12,2.1.0,142949,2633,"<img src=""Mask/ampmask.jpg"" style=""width:100%; max-width:400px;"">",e,,,,,
,,,,,html-keyboard-response,13,2.1.0,143965,1016,Did the prime influence your judgment?<br><br>,0,,,,,
,,,,,html-keyboard-response,14,2.1.0,144467,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,,,,,image-keyboard-response,15,2.1.0,144570,null,Primes/unpleasant_9.jpg,null,prime,unpleasant,Primes/unpleasant_9.jpg,,
,,,,,html-keyboard-response,16,2.1.0,144672,null,,null,blank,,,,
,,,,,image-keyboard-response,17,2.1.0,144875,null,Targets/pic64.jpg,null,target,,,,
,,,,,html-keyboard-response,18,2.1.0,146114,1238,"<img src=""Mask/ampmask.jpg"" style=""width:100%; max-width:400px;"">",i,,,,,
,,,,,html-keyboard-response,19,2.1.0,146517,402,Did the prime influence your judgment?<br><br>,0,,,,,
,,,,,html-keyboard-response,20,2.1.0,147018,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,,,,,image-keyboard-response,21,2.1.0,147121,null,Primes/unpleasant_5.jpg,null,prime,unpleasant,Primes/unpleasant_5.jpg,,
,,,,,html-keyboard-response,22,2.1.0,147222,null,,null,blank,,,,
,,,,,image-keyboard-response,23,2.1.0,147425,null,Targets/pic54.jpg,null,target,,,,
,,,,,html-keyboard-response,24,2.1.0,148037,611,"<img src=""Mask/ampmask.jpg"" style=""width:100%; max-width:400px;"">",e,,,,,
,,,,,html-keyboard-response,25,2.1.0,150533,2495,Did the prime influence your judgment?<br><br>,1,,,,,
,,,,,html-keyboard-response,26,2.1.0,151034,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,,,,,image-keyboard-response,27,2.1.0,151137,null,Primes/unpleasant_4.jpg,null,prime,unpleasant,Primes/unpleasant_4.jpg,,
,,,,,html-keyboard-response,28,2.1.0,151239,null,,null,blank,,,,
,,,,,image-keyboard-response,29,2.1.0,151442,null,Targets/pic60.jpg,null,target,,,,
,,,,,html-keyboard-response,30,2.1.0,153194,1751,"<img src=""Mask/ampmask.jpg"" style=""width:100%; max-width:400px;"">",i,,,,,
,,,,,html-keyboard-response,31,2.1.0,153559,364,Did the prime influence your judgment?<br><br>,0,,,,,
,,,,,html-keyboard-response,32,2.1.0,154060,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
