data_wl9f6dm4
success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,plugin_version,time_elapsed,rt,stimulus,response,phase,valence,prime_image,past_response_label,past_session_id
TRUE,FALSE,[],[],[],preload,0,2.1.0,566,,,,,,,,
,,,,,html-keyboard-response,1,2.1.0,6605,6038,"<h1>Welcome to the experiment!</h1><br><br>
      <h2>Consent to Participate</h2>
      <p>You are being asked to participate in a psychology experiment.</p>
      <p>Risks: The main risk is that you might get bored while completing the task.</p>
      <p>Benefits: There are no direct benefits, but your participation will help us learn about how people judge visual images.</p>
      <p>By pressing any key, you agree to participate in this study voluntarily.</p>
      <p>If you do not wish to participate, you may close this browser window now.</p>
      Press any key to begin.",Meta,,,,,
,,,,,html-keyboard-response,2,2.1.0,34755,28149,"This study examines how people make simple judgments.<br><br>
      During the first task, you will see pairs of pictures appear one after the other.<br><br>
      The first picture will be a real-life image and the second picture will be an abstract painting.<br><br>
      <b>The first image is simply a warning signal for the abstract painting and should be ignored.</b><br><br>
      Your task is to <b>judge how visually pleasant each abstract painting is.</b>", ,,,,,
,,,,,html-keyboard-response,3,2.1.0,59590,24834,"
      Put your index fingers on the E and I keys of your keyboard.<br><br>
      If the abstract painting is <b>less visually pleasant than average</b>, please press the <b>E key on the left</b>.<br><br>
      If the abstract painting is <b>more visually pleasant than average</b>, please press the <b>I key on the right</b>.<br><br>
      Note that the first (real-life) image can sometimes bias judgments of the abstract paintings.<br><br>
      <b>Please try your absolute best not to let the real-life images bias your judgment of the abstract paintings.</b>", ,,,,,
,,,,,html-keyboard-response,4,2.1.0,71596,11002,"After each trial we will ask you whether your judgment of the abstract painting was influenced by the real-life image.<br><br>
        <b>If your judgment of the abstract painting was influenced by the image that came before it, then press the 1 key.<br><br>
        If your judgment of the abstract painting was <u>NOT</u> influenced by the image that came before it, then press the 0 key.<b>", ,,,,,
,,,,,html-keyboard-response,5,2.1.0,81312,8712,"<div style=""max-width:1000px; margin: 0 auto; text-align:center;""> <p>Here are some examples of the types of pictures that you will see during the task:</p> <table style=""margin: 10px auto; border-collapse: collapse;""> <tr> <th colspan=""6"" style=""padding:8px; font-size:16px; text-align:center;""> Real-life images </th> </tr> <tr><td style=""padding:6px; text-align:center;""><img src=""Primes/unpleasant_7.jpg"" style=""width:140px; height:auto; display:block; margin:0 auto;""></td><td style=""padding:6px; text-align:center;""><img src=""Primes/pleasant3.jpg"" style=""width:140px; height:auto; display:block; margin:0 auto;""></td><td style=""padding:6px; text-align:center;""><img src=""Primes/pleasant6.jpg"" style=""width:140px; height:auto; display:block; margin:0 auto;""></td><td style=""padding:6px; text-align:center;""><img src=""Primes/pleasant11.jpg"" style=""width:140px; height:auto; display:block; margin:0 auto;""></td><td style=""padding:6px; text-align:center;""><img src=""Primes/unpleasant_3.jpg"" style=""width:140px; height:auto; display:block; margin:0 auto;""></td><td style=""padding:6px; text-align:center;""><img src=""Primes/unpleasant_10.jpg"" style=""width:140px; height:auto; display:block; margin:0 auto;""></td></tr> <tr> <th colspan=""6"" style=""padding:12px 8px 8px; font-size:16px; text-align:center;""> Abstract paintings </th> </tr> <tr><td style=""padding:6px; text-align:center;""><img src=""Targets/pic19.jpg"" style=""width:140px; height:auto; display:block; margin:0 auto;""></td><td style=""padding:6px; text-align:center;""><img src=""Targets/pic61.jpg"" style=""width:140px; height:auto; display:block; margin:0 auto;""></td><td style=""padding:6px; text-align:center;""><img src=""Targets/pic51.jpg"" style=""width:140px; height:auto; display:block; margin:0 auto;""></td><td style=""padding:6px; text-align:center;""><img src=""Targets/pic27.jpg"" style=""width:140px; height:auto; display:block; margin:0 auto;""></td><td style=""padding:6px; text-align:center;""><img src=""Targets/pic10.jpg"" style=""width:140px; height:auto; display:block; margin:0 auto;""></td><td style=""padding:6px; text-align:center;""><img src=""Targets/pic7.jpg"" style=""width:140px; height:auto; display:block; margin:0 auto;""></td></tr> </table> <p>Press the<b>space bar</b> to continue.</p> </div>", ,,,,,
,,,,,html-keyboard-response,6,2.1.0,118205,35890,"We will now provide you with an opportunity to practice the task. Remember: You should judge whether each abstract <br><br>
      painting is more or less visually pleasant than average by pressing the E or the I key. And if you think your <br><br>
      rating of the abstract paintingwas influenced by the real-life image that appeared just before it, press the 1 key.<br><br>
      And if it was not influenced by the real-life image, press the 0 key. When you are ready to try a few practice <br><br>
      responses, hit the <b>space bar</b>.<br><br>
      Ready? Press the <b>space bar</b> to begin.", ,,,,,
,,,,,html-keyboard-response,7,2.1.0,129450,10241,"Good! The test phase will now begin. Keep going as before.<br><br>
      As a reminder: If the abstract painting is less visually pleasant than average, press the E key. And if it is more visually pleasant than average, press the I key.<br><br>
      Ready? Press the <b>space bar</b> to begin.", ,,,,,
,,,,,html-keyboard-response,8,2.1.0,130952,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,,,,,image-keyboard-response,9,2.1.0,131056,null,Primes/unpleasant_5.jpg,null,prime,unpleasant,Primes/unpleasant_5.jpg,,
,,,,,html-keyboard-response,10,2.1.0,131157,null,,null,blank,,,,
,,,,,image-keyboard-response,11,2.1.0,131359,null,Targets/pic22.jpg,null,target,,,,
,,,,,html-keyboard-response,12,2.1.0,140783,9423,"<img src=""Mask/ampmask.jpg"" style=""width:100%; max-width:400px;"">",e,,,,,
,,,,,html-keyboard-response,13,2.1.0,146334,5551,Did the prime influence your judgment?<br><br>,0,,,,,
,,,,,html-keyboard-response,14,2.1.0,146836,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,,,,,image-keyboard-response,15,2.1.0,146938,null,Primes/pleasant11.jpg,null,prime,pleasant,Primes/pleasant11.jpg,,
,,,,,html-keyboard-response,16,2.1.0,147040,null,,null,blank,,,,
,,,,,image-keyboard-response,17,2.1.0,147243,null,Targets/pic39.jpg,null,target,,,,
,,,,,html-keyboard-response,18,2.1.0,154105,6861,"<img src=""Mask/ampmask.jpg"" style=""width:100%; max-width:400px;"">",i,,,,,
,,,,,html-keyboard-response,19,2.1.0,157367,3261,Did the prime influence your judgment?<br><br>,1,,,,,
,,,,,html-keyboard-response,20,2.1.0,157868,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,,,,,image-keyboard-response,21,2.1.0,157970,null,Primes/unpleasant_10.jpg,null,prime,unpleasant,Primes/unpleasant_10.jpg,,
,,,,,html-keyboard-response,22,2.1.0,158072,null,,null,blank,,,,
,,,,,image-keyboard-response,23,2.1.0,158275,null,Targets/pic18.jpg,null,target,,,,
,,,,,html-keyboard-response,24,2.1.0,168703,10427,"<img src=""Mask/ampmask.jpg"" style=""width:100%; max-width:400px;"">",e,,,,,
,,,,,html-keyboard-response,25,2.1.0,170521,1818,Did the prime influence your judgment?<br><br>,1,,,,,
,,,,,html-keyboard-response,26,2.1.0,171023,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,,,,,image-keyboard-response,27,2.1.0,171125,null,Primes/pleasant7.jpg,null,prime,pleasant,Primes/pleasant7.jpg,,
,,,,,html-keyboard-response,28,2.1.0,171227,null,,null,blank,,,,
,,,,,image-keyboard-response,29,2.1.0,171429,null,Targets/pic10.jpg,null,target,,,,
,,,,,html-keyboard-response,30,2.1.0,175128,3698,"<img src=""Mask/ampmask.jpg"" style=""width:100%; max-width:400px;"">",i,,,,,
,,,,,html-keyboard-response,31,2.1.0,177571,2442,Did the prime influence your judgment?<br><br>,1,,,,,
,,,,,html-keyboard-response,32,2.1.0,178072,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,,,,,image-keyboard-response,33,2.1.0,178174,null,Primes/pleasant3.jpg,null,prime,pleasant,Primes/pleasant3.jpg,,
,,,,,html-keyboard-response,34,2.1.0,178276,null,,null,blank,,,,
,,,,,image-keyboard-response,35,2.1.0,178478,null,Targets/pic66.jpg,null,target,,,,
,,,,,html-keyboard-response,36,2.1.0,180089,1610,"<img src=""Mask/ampmask.jpg"" style=""width:100%; max-width:400px;"">",i,,,,,
,,,,,html-keyboard-response,37,2.1.0,181970,1880,Did the prime influence your judgment?<br><br>,1,,,,,
,,,,,html-keyboard-response,38,2.1.0,182471,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
,,,,,image-keyboard-response,39,2.1.0,182574,null,Primes/unpleasant_2.jpg,null,prime,unpleasant,Primes/unpleasant_2.jpg,,
