"session_id","citizenship","state","education","gender","genoccupation","politicalid","raceethnic","religion","religionid","age","posPrime","negPrime","ampDiff","all_same","complete_amp","shareAware","prime_present","target_present","influence","influence_unintentional","influence_intentional","strategy","strategy_noprime","anything_else"
"14577746","United States","Virginia","M.B.A.","Female","Business","Slightly liberal","White","Protestant","Somewhat religious",53,0.914285714285714,0.228571428571429,0.685714285714286,0,1,0.757142857142857,100,100,77,63,31,"if I had no feelings about the painting, but liked or disliked the picture before","picked like or dislike and chose not influenced","no"
"14577747","United States","Washington","Some college","Female","Sales","Strongly liberal","Hispanic","Catholic","Somewhat religious",23,0.571428571428571,0.0285714285714286,0.542857142857143,0,1,0.928571428571429,100,99,100,73,68,"objects like or dislike","colors","sure"
"14577752","United States","Tennessee","Bachelors degree","Male","Business","Strongly liberal","White","None","Not at all religious",24,0.485714285714286,0.4,0.0857142857142857,0,1,0.285714285714286,100,100,42,78,63,"If I liked the color scheme but found the painting unpleasant or vice versa, then I felt like the picture had influence","I felt like I saw all of the pictures and paintings","It felt tedious and boring. I think that caused my answers to become more random as it went on"
"14577758","United States","California","High school graduate","Female","Service and Personal Care","Moderately liberal","Asian",NA,"Not at all religious",30,0.857142857142857,0.0285714285714286,0.828571428571429,0,1,0.871428571428571,100,100,99,100,0,NA,"not sure",NA
"14577763","United States","Washington","Masters degree","Female","Education","Neutral","White","Catholic","Somewhat religious",55,1,0.228571428571429,0.771428571428571,0,1,0,89,7,3,5,4,"Not sure","If is was something happy","no"
"14577790","United States","California","Masters degree","Female","Social Service","Moderately liberal","Native American","Protestant","Somewhat religious",37,0.771428571428571,0.485714285714286,0.285714285714286,0,1,0.571428571428571,74,0,66,97,16,"If the picture elicited a strong response I took that into consideration. Then that was compared to the strength of my feeling about the painting. Additionally, the length of time the abstract painting was shown was taken into accoun tbecaus eit allowe dme longer to forget the feeling sof the previous photo.","If I was unable to see the picture or the painting, i took it as neutral and went with a positive feeling and an uninfluenced perception.","No."
"14577814","Canada",NA,"Bachelors degree","Female","Engineers/Architects","Strongly liberal","White","None","Not at all religious",24,0.551724137931034,0.387096774193548,0.164627363737486,0,0,0.0333333333333333,NA,NA,NA,NA,NA,NA,NA,NA
"14577817","United States","Illinois","Bachelors degree","Female","Management","Slightly liberal","Multiracial","Catholic","Not at all religious",25,0.904761904761905,0.157894736842105,0.7468671679198,0,0,0.95,NA,NA,NA,NA,NA,NA,NA,NA
"14577831","United States","California","Bachelors degree","Female","Healthcare","Moderately liberal","Hispanic","None","Not at all religious",40,0,0,0,1,1,0,99,1,0,0,0,"If I felt anything, but the photos prior to the abstract photos did not change how I felt about the abstract photo at all","N/a",NA
"14577836","United States","Geogia","Some college","Female","Retired/Unemployed","Slightly conservative","White","Protestant","Very religious",22,0.742857142857143,0.0571428571428571,0.685714285714286,0,1,0.985714285714286,100,100,99,93,84,"feelings","feelings","fun"
"14577853","United States","Kansas","Associates degree","Female","Food Service","Moderately liberal","White","Other","Somewhat religious",20,0.4,0.514285714285714,-0.114285714285714,0,1,0.0142857142857143,100,100,17,100,0,"color scheme","I usually just picked dislike because I didnt like the fuzzy tv screen picture afterwards",NA
"14577871","United States","Deleware","Some college","Female","Healthcare","Neutral","Black","Protestant","Very religious",19,0.5,0.5,0,0,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA
"14577882","United States","South Carolina","High school graduate","Male",NA,"Neutral","Black","Protestant","Moderately religious",18,0.485714285714286,0.514285714285714,-0.0285714285714285,0,1,0,NA,NA,0,NA,1,"basically if I enjoyed the painting itself","none of the pictures influence me","I feel like I messed up in the beginning but still none of the pictures affected me"
"14577888","Philippines",NA,"High school graduate","Male","Sales","Neutral","Asian","Catholic","Moderately religious",18,1,0.266666666666667,0.733333333333333,0,0,0.966666666666667,NA,NA,NA,NA,NA,NA,NA,NA
"14577889","United States",NA,"Masters degree","Male","Healthcare","Moderately liberal","White","None","Not at all religious",49,0.228571428571429,0,0.228571428571429,0,1,0.357142857142857,100,0,43,60,59,"I guessed.  The photos went by so fast I had no idea what was going on.","Most of them until near the end. So I guessed.","It was uncomfortable because I had no idea what was really happening."
"14577891","Mexico",NA,"M.B.A.","Male","Business","Neutral","Hispanic","Catholic","Moderately religious",39,0.857142857142857,0.314285714285714,0.542857142857143,0,1,0.6,84,68,81,53,55,"it was based mostly on the colors I like, but I could not help to be influceced by the piture before the painting","if there was no picture before, the main bias will be based on color for me","it was weirdly satyisfying"
"14577896","United States","California","Some graduate school","Female","Retired/Unemployed","Neutral","Black","Protestant","Very religious",29,0.588235294117647,0.173913043478261,0.414322250639386,0,0,0.725,NA,NA,NA,NA,NA,NA,NA,NA
"14577904","United States","North Carolina","Some college","Female","Sales","Neutral","Multiracial","None","Not at all religious",29,0.485714285714286,0.342857142857143,0.142857142857143,0,1,0.228571428571429,100,100,32,26,37,"When my heart rate elevated, like the photograph of the gun","By how they made me feel","No"
"14577908","United States","New Jersey","Bachelors degree","Male","Management","Moderately liberal","White","None","Somewhat religious",57,0.857142857142857,0.857142857142857,0,0,1,0.0857142857142857,99,1,20,100,0,"I tried to consider if I remembered what the picture was before I saw the painting. If it stuck in my mind, I assumed that it influenced my rating in some way.","If I remembered what the picture was after I did my rating, I assumed I was influenced.","Nothing I can think of."
"14577909","United States","Maryland","J.D.","Male","Management","Neutral","White","Catholic","Somewhat religious",61,1,0.485714285714286,0.514285714285714,0,1,1,NA,NA,NA,NA,9,NA,"used my mind","no"
"14577913","United States","California","Bachelors degree","Female","Administrative Support","Moderately liberal","Hispanic","Catholic","Moderately religious",20,0.142857142857143,0.685714285714286,-0.542857142857143,0,1,0.714285714285714,98,84,59,35,47,"I tried to evaluate the abstract painting based on how it looked liked and tried to ignore the previous pictures shown, however that did not always work","I decided based on what I was seeing/thinking","not right now"
